label	text_a
1	#Coronavirus:  Prime  Minister  Boris  Johnson  has  urged  Britons  to  'summon  the  discipline  and  the  resolve'  to  avoid  a  second  national  lockdown  https://t.co/D8ueQrCJok
0	Global  coronavirus  deaths  exceed  800000  https://t.co/ztr5sSmqLI
1	The  US  has  the  highest  number  of  #COVID19  deaths  in  the  world  as  it  passes  a  grim  200000  milestone  according  to  data  from  Johns  Hopkins  University  https://t.co/XnjOy41DbC
1	Many  more  cities  and  states  will  start  requiring  face  masks  and  coverings.  Make  sure  you  and  your  loved  ones  are  prepared.  https://t.co/wsn2ghkZRp  via  @USATODAY
1	#IndiaFightsCorona:  Japan  commits  Rs  3500  crore  (approx.)  as  Official  Development  Assistance  for  health  sector  to  fight  the  #COVID19  crisis  in  India.  Read  Details:  https://t.co/phqGEk32LO  #StaySafe  #IndiaWillWin  @PMOIndia  @IndianEmbTokyo  @drharshvardhan  @MoHFW_INDIA
0	doctors  and  nurses  in  medical  uniforms  lying  on  the  floor  of  a  hospital  in  Italy
0	COVID-19:  Man  Insisting  That  He  Will  'Die  Looking  Good'  https://t.co/SpbJi7csj7  #death  #coronavirus  #covid19
1	There  are  37  people  isolating  in  the  Auckland  quarantine  facility  from  the  community  which  includes  17  people  who  have  tested  positive  for  COVID-19  and  their  household  contacts.
1	Florida  also  had  a  major  problem  with  a  case  backlog  in  Miami  which  added  4000  cases  to  the  state's  totals.  https://t.co/drHk80BHve
0	Indian  business  tycoon  Ratan  Tata  said  the  Year  2020  is  the  year  of  survival.
1	Our  4  pm  update  is  published.  The  US  has  now  completed  tests  on  at  least  227365  people  up  44560  from  yesterday's  total.  Note  that  we  can  only  track  tests  that  a  state  reports  (for  now).  And  not  all  states  report  all  negative  tests.  For  details  see:  https://t.co/PZrmH4bl5Y  https://t.co/UfTDbrMrMG
1	📢#CoronaVirusUpdates:  ✅India's  #COVID19  recovery  rate  improves  to  77.15%  as  on  September  04  2020  📍Steady  improvement  in  India's  COVID-19  recovery  rate  since  #lockdown  initiation  on  March  25  2020  #IndiaFightsCorona  @ICMRDELHI  Via  @MoHFW_INDIA  https://t.co/655ix5gseH
1	#COVID19  can  spread  from  people  to  animals  through  close  contact.  Take  steps  to  keep  your  pet  safe  from  #COVID19:  https://t.co/G8dUIQxiWR.  https://t.co/uaC45bd9xc
1	Brazil's  President  Jair  Bolsonaro  tests  positive  for  COVID-19.  Brazil  has  1.6M  confirmed  cases  and  over  65K  deaths  from  the  virus.  https://t.co/xRMru7lX6F  https://t.co/TCc2qbEJkY
1	There  are  currently  5542  people  in  managed  isolation  and  quarantine.  Our  current  effective  capacity  is  7103.  This  gives  us  an  excess  capacity  of  1561.  Over  the  next  week  we  are  projecting  3067  arrivals  and  2868  departures  from  our  facilities.
1	RT  @Surgeon_General:  We  must  continue  to  help  slow  the  spread  of  #COVID19  for  ourselves  our  loved  ones  and  our  future.  Do  your  part  and:…
0	Some  150  foreigners  attended  Sadhguru's  event  in  March  which  has  led  to  over  1000  coronavirus  cases  in  Tamil  Nadu  India.  The  foreigners  are  quarantined  at  Isha  Yoga  Center.
1	RT  @DrTedros:  Interconnectedness  is  a  strength  but  also  a  weakness  when  it  comes  to  the  spread  of  disease.  @WHO's  ACT-Accelerator  brings  c…
